Year	Week	Event
2003	28	0
2003	37	0
2003	38	0
2003	42	0
2003	43	0
2003	45	0
2003	47	0
2004	1	0
2004	3	0
2004	8	0
2004	14	0
2004	15	0
2004	17	0
2004	23	0
2004	26	0
2004	30	0
2004	31	0
2004	32	0
2004	42	0
2004	44	0
2004	47	0
2004	50	0
2005	6	0
2005	10	0
2005	12	0
2005	15	0
2005	21	0
2005	26	0
2005	29	0
2005	31	0
2005	36	0
2005	50	0
2006	17	0
2006	18	0
2006	21	0
2006	31	0
2006	32	0
2006	33	0
2006	36	0
2006	37	0
2006	46	0
2006	50	0
2006	51	0
2007	12	0
2007	18	0
2007	24	0
2007	28	0
2007	34	0
2007	36	0
2007	38	0
2007	42	0
2007	45	0
2007	47	0
2007	50	0
2007	51	0
2008	6	0
2008	7	0
2008	8	0
2008	11	0
2008	15	0
2008	24	0
2008	29	0
2008	40	0
2008	51	0
2009	2	0
2009	3	0
2009	12	0
2009	15	0
2009	18	0
2009	22	0
2009	31	0
2009	38	0
2009	39	0
2009	43	0
2009	44	0
2009	46	1
2009	47	1
2010	2	1
2010	12	1
2010	21	0
2010	30	0
2010	33	0
2010	35	0
2010	47	0
2011	11	0
2011	13	0
2011	16	0
2011	25	0
2011	27	0
2011	34	0
2011	35	0
2011	47	0
2011	48	0
2012	11	0
2012	13	0
2012	18	0
2012	25	0
2012	38	0
2012	44	0
2012	46	0
2013	1	0
2013	7	0
2013	10	0
2013	34	0
2013	35	0
2013	49	0
2013	52	1
2014	1	1
2014	7	1
2014	8	1
2014	13	1
2014	19	1
2014	25	1
2014	32	1
2014	34	1
2014	43	0
2014	48	0
2015	5	0
2015	7	0
2015	10	0
2015	11	0
2015	14	0
2015	20	1
2015	28	1
2015	37	1
2015	40	1
2015	48	1
2016	3	1
2016	5	1
2016	12	1
2016	15	1
2016	16	1
2016	23	1
2016	28	1
2016	30	1
2016	35	1
2016	37	1
2016	39	1
2016	50	1
2017	4	1
2017	12	0
2017	14	0
2017	17	0
2017	18	0
2017	20	0
2017	25	0
2017	38	0
2017	41	0
2017	44	0
2017	46	0
2017	51	0
2018	4	0
2018	20	0
2018	24	0
2018	36	0
2018	38	0
2018	43	0
2018	45	0
2018	46	0
2018	47	0
2018	50	0
2018	52	1
